ID,Country/Region,Date,Confirmed,Deaths,Recovered,New cases,New deaths,New recovered
1,Afghanistan,2020-01-01,0,0,0,0,0,0
2,Afghanistan,2020-02-01,1,0,0,1,0,0
3,Afghanistan,2020-03-01,174,4,5,173,4,5
4,Afghanistan,2020-04-01,2171,64,260,1997,60,255
5,Afghanistan,2020-05-01,15205,257,1328,13034,193,1068
6,Afghanistan,2020-06-01,31517,746,14131,16312,489,12803
7,Afghanistan,2020-07-01,36263,1269,25198,4746,523,11067
8,Albania,2020-01-01,0,0,0,0,0,0
9,Albania,2020-02-01,0,0,0,0,0,0
10,Albania,2020-03-01,243,15,52,243,15,52
11,Albania,2020-04-01,773,31,470,530,16,418
12,Albania,2020-05-01,1137,33,872,364,2,402
13,Albania,2020-06-01,2535,62,1459,1398,29,587
14,Albania,2020-07-01,4880,144,2745,2345,82,1286
15,Algeria,2020-01-01,0,0,0,0,0,0
16,Algeria,2020-02-01,1,0,0,1,0,0
17,Algeria,2020-03-01,716,44,46,715,44,46
18,Algeria,2020-04-01,4006,450,1779,3290,406,1733
19,Algeria,2020-05-01,9394,653,5748,5388,203,3969
20,Algeria,2020-06-01,13907,912,9897,4513,259,4149
21,Algeria,2020-07-01,27973,1163,18837,14066,251,8940
22,Andorra,2020-01-01,0,0,0,0,0,0
23,Andorra,2020-02-01,0,0,0,0,0,0
24,Andorra,2020-03-01,376,12,10,376,12,10
25,Andorra,2020-04-01,745,42,468,369,30,458
26,Andorra,2020-05-01,764,51,694,19,9,226
27,Andorra,2020-06-01,855,52,799,91,1,105
28,Andorra,2020-07-01,907,52,803,52,0,4
29,Angola,2020-01-01,0,0,0,0,0,0
30,Angola,2020-02-01,0,0,0,0,0,0
31,Angola,2020-03-01,7,2,1,7,2,1
32,Angola,2020-04-01,27,2,7,20,0,6
33,Angola,2020-05-01,86,4,18,59,2,11
34,Angola,2020-06-01,284,13,93,198,9,75
35,Angola,2020-07-01,950,41,242,666,28,149
36,Antigua and Barbuda,2020-01-01,0,0,0,0,0,0
37,Antigua and Barbuda,2020-02-01,0,0,0,0,0,0
38,Antigua and Barbuda,2020-03-01,7,0,0,7,0,0
39,Antigua and Barbuda,2020-04-01,24,3,11,17,3,11
40,Antigua and Barbuda,2020-05-01,26,3,19,2,0,8
41,Antigua and Barbuda,2020-06-01,69,3,22,43,0,3
42,Antigua and Barbuda,2020-07-01,86,3,65,18,0,43
43,Argentina,2020-01-01,0,0,0,0,0,0
44,Argentina,2020-02-01,0,0,0,0,0,0
45,Argentina,2020-03-01,1054,27,240,1054,27,240
46,Argentina,2020-04-01,4428,218,1256,3374,191,1016
47,Argentina,2020-05-01,16851,539,5336,12423,321,4080
48,Argentina,2020-06-01,64530,1307,22028,47679,768,16692
49,Argentina,2020-07-01,167416,3059,72575,102886,1752,50547
50,Armenia,2020-01-01,0,0,0,0,0,0
51,Armenia,2020-02-01,0,0,0,0,0,0
52,Armenia,2020-03-01,532,3,30,532,3,30
53,Armenia,2020-04-01,2066,32,929,1534,29,899
54,Armenia,2020-05-01,9282,131,3386,7216,99,2457
55,Armenia,2020-06-01,25542,443,14048,16260,312,10662
56,Armenia,2020-07-01,37390,711,26665,11848,268,12617
57,Australia,2020-01-01,9,0,2,9,0,2
58,Australia,2020-02-01,25,0,11,16,0,9
59,Australia,2020-03-01,4559,18,358,4534,18,347
60,Australia,2020-04-01,6766,93,5742,2207,75,5384
61,Australia,2020-05-01,7202,103,6618,436,10,876
62,Australia,2020-06-01,7920,104,7040,718,1,422
63,Australia,2020-07-01,15303,167,9311,7383,63,2271
64,Austria,2020-01-01,0,0,0,0,0,0
65,Austria,2020-02-01,9,0,0,9,0,0
66,Austria,2020-03-01,10180,128,1095,10171,128,1095
67,Austria,2020-04-01,15452,584,12907,5272,456,11812
68,Austria,2020-05-01,16731,668,15593,1279,84,2686
69,Austria,2020-06-01,17766,705,16478,1035,37,885
70,Austria,2020-07-01,20558,713,18246,2792,8,1768
71,Azerbaijan,2020-01-01,0,0,0,0,0,0
72,Azerbaijan,2020-02-01,0,0,0,0,0,0
73,Azerbaijan,2020-03-01,298,5,26,298,5,26
74,Azerbaijan,2020-04-01,1804,24,1325,1506,19,1299
75,Azerbaijan,2020-05-01,5494,63,3428,3690,39,2103
76,Azerbaijan,2020-06-01,17524,213,9715,12030,150,6287
77,Azerbaijan,2020-07-01,30446,423,23242,12922,210,13527
78,Bahamas,2020-01-01,0,0,0,0,0,0
79,Bahamas,2020-02-01,0,0,0,0,0,0
80,Bahamas,2020-03-01,14,0,1,14,0,1
81,Bahamas,2020-04-01,81,11,25,67,11,24
82,Bahamas,2020-05-01,102,11,48,21,0,23
83,Bahamas,2020-06-01,104,11,87,2,0,39
84,Bahamas,2020-07-01,382,11,91,278,0,4
85,Bahrain,2020-01-01,0,0,0,0,0,0
86,Bahrain,2020-02-01,41,0,0,41,0,0
87,Bahrain,2020-03-01,567,4,295,526,4,295
88,Bahrain,2020-04-01,3040,8,1500,2473,4,1205
89,Bahrain,2020-05-01,11398,19,6673,8358,11,5173
90,Bahrain,2020-06-01,26758,87,21331,15360,68,14658
91,Bahrain,2020-07-01,39482,141,36110,12724,54,14779
92,Bangladesh,2020-01-01,0,0,0,0,0,0
93,Bangladesh,2020-02-01,0,0,0,0,0,0
94,Bangladesh,2020-03-01,51,5,25,51,5,25
95,Bangladesh,2020-04-01,7667,168,160,7616,163,135
96,Bangladesh,2020-05-01,47153,650,9781,39486,482,9621
97,Bangladesh,2020-06-01,145483,1847,59624,98330,1197,49843
98,Bangladesh,2020-07-01,226225,2965,125683,80742,1118,66059
99,Barbados,2020-01-01,0,0,0,0,0,0
